Pizza No.,Order Date,Order Time,Ord - Del time,Order Receipt (mins), Base prep (mins), Styling (mins), Cooking Time (mins),Boxing (mins),Delivery (mins),Oven Temp ºC,Order Mode,Size,Area,Order Taker,Dough Prep,Stylist,Oven,Boxer,Deliverer,Cust. complaint,Reason,,,,,,,
1,05/03/2018,12:05:07,45.4,0.92,3.25,0.64,6.40,0.50,33.7,244.5,Phone,Small,D,Dineo,Tau,Tsepo,Chilli,Rohan,Kone,no,,,,,,,,
2,05/03/2018,12:26:29,41.8,0.70,3.39,0.47,6.91,0.47,29.9,277.9,Phone,Large,D,Dineo,Tau,Tsepo,Curry,Rohan,Jeff,no,,,,,,,,
3,05/03/2018,12:26:50,51.4,0.62,3.39,0.53,7.44,0.53,38.9,286.4,Phone,Family,E,Dineo,Tau,Tsepo,Wasabi,Rohan,Mary,yes,Wrong Size,,,,,,,
4,05/03/2018,12:33:02,39.3,0.47,3.06,0.42,6.48,0.42,28.5,250.0,Phone,Small,A,Dineo,Tau,Tsepo,Chilli,Rohan,Kone,no,,,,,,,,
5,05/03/2018,12:36:42,35.4,0.83,3.13,0.46,6.63,0.46,23.9,243.4,Phone,Medium,A,Dineo,Tau,Tsepo,Chilli,Rohan,Jeff,no,,,,,,,,
6,05/03/2018,12:38:35,52.4,0.59,3.35,0.47,7.59,0.47,39.9,285.3,Phone,Family,E,Dineo,Tau,Tsepo,Wasabi,Rohan,Mary,no,,,,,,,,
7,05/03/2018,12:41:10,39.4,0.90,3.46,0.57,6.99,0.57,26.9,276.2,Phone,Large,B,Dineo,Tau,Tsepo,Curry,Rohan,Kone,no,,,,,,,,
8,05/03/2018,12:48:13,37.0,0.80,3.21,0.56,6.19,0.56,25.6,242.9,Phone,Small,B,Dineo,Tau,Tsepo,Chilli,Rohan,Jeff,no,,,,,,,,
9,05/03/2018,13:20:32,38.2,0.68,3.54,0.43,7.46,0.43,25.7,289.2,App,Family,B,Dineo,Tau,Tsepo,Wasabi,Rohan,Mary,no,,,,,,,,
10,05/03/2018,13:33:25,48.3,0.64,3.64,0.52,6.22,0.52,36.7,286.3,App,Family,E,Dineo,Tau,Tsepo,Chilli,Rohan,Kone,no,,,,,,,,
11,05/03/2018,13:50:58,39.2,0.78,3.33,0.60,6.46,0.60,27.4,248.3,App,Medium,C,Dineo,Tau,Tsepo,Chilli,Rohan,Jeff,yes,Wrong topping,,,,,,,
